parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
"natural[21,2]",2.70506,0.0101558,1.00683,0.902925,1.39434,2.55538,4.5364,10082.0,7412.42,7.33616,0.999915,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[21,3]",2.85582,0.0147726,1.26531,1.18819,1.2379,2.62215,5.30819,7979.11,6441.81,5.80599,1.00076,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[21,4]",0.0818438,0.000916642,0.08776,0.0604215,0.00157943,0.0478927,0.268714,8429.3,6443.8,6.13357,0.999823,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[22,1]",0.131019,0.00144263,0.114612,0.0859457,0.0146085,0.0971269,0.365663,5501.43,5053.29,4.00311,1.0012,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[22,2]",0.135354,0.00114487,0.10536,0.0724955,0.0311929,0.105914,0.345587,8499.05,6694.69,6.18433,1.00043,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[22,3]",5.63696,0.0309984,2.80513,2.88228,1.6836,5.32003,10.6995,9171.67,5936.34,6.67376,1.00017,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[22,4]",2.60336,0.0270247,2.46383,2.18462,0.0367979,1.92279,7.55443,10330.2,5775.78,7.51679,1.00056,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[23,1]",0.0660761,0.00105691,0.0663236,0.0408193,0.00650419,0.0452107,0.199696,3573.65,5604.82,2.60036,1.00093,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[23,2]",0.179115,0.000640079,0.0659662,0.0611273,0.0919896,0.167992,0.302961,9995.1,6228.01,7.27293,1.00013,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[23,3]",9.43049,0.0275935,2.37503,2.35749,5.80494,9.22151,13.5639,7980.34,6729.02,5.80689,0.999965,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[23,4]",6.29451,0.0234242,2.31199,2.22567,3.01037,6.01519,10.5282,12083.5,5689.09,8.79257,1.00009,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[24,1]",0.0645944,0.00096704,0.0638907,0.0432689,0.00518948,0.0436191,0.195346,3553.7,4776.38,2.58585,1.00145,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[24,2]",0.205977,0.000718006,0.0703092,0.0651141,0.109951,0.195816,0.339526,9136.22,6351.34,6.64796,0.999785,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[24,3]",10.5404,0.0251306,2.39232,2.34927,6.88092,10.3892,14.6633,9414.11,5588.09,6.85017,1.00071,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[24,4]",7.22181,0.0221106,2.35774,2.33493,3.81057,6.96893,11.4379,13394.5,6084.05,9.74651,0.999909,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[25,1]",0.157817,0.00113168,0.0771506,0.0750317,0.0400567,0.153982,0.290882,4073.53,2788.06,2.9641,1.00134,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[25,2]",1.04825,0.00324379,0.293999,0.28893,0.590152,1.03073,1.55667,7870.51,4938.87,5.72697,1.00017,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[25,3]",0.561336,0.00240278,0.195295,0.168955,0.257731,0.553947,0.872582,6964.49,4323.44,5.06771,1.00063,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[25,4]",0.0225687,0.000486293,0.0406832,0.00943275,0.000186264,0.00704523,0.0982839,6113.66,5228.63,4.44861,1.00017,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[26,1]",0.0681655,0.000890803,0.065421,0.0438137,0.00646458,0.0483298,0.199178,5014.84,5762.29,3.64904,1.00123,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
